judge_model,prompt_template,golden_answer_alias_count,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
gemma_3_27b,minimal,54,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,2,0,1,0,0.0,0.0,0.0,1.0,2334.6666666666665,2424.0,2635.5,0.0
gemma_3_27b,minimal,55,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,2325.0,2325.0,2376.3,0.0
gemma_3_27b,minimal,56,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,2203.0,2203.0,2307.4,0.0
gemma_3_27b,minimal,63,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,2131.0,2131.0,2131.0,0.0
gemma_3_27b,minimal,64,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,2054.5,2054.5,2333.95,0.0
gemma_3_27b,minimal,65,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,2099.0,2099.0,2099.0,0.0
gemma_3_27b,minimal,94,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,2004.0,2004.0,2020.2,0.0
gemma_3_27b,minimal,99,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,2457.0,2457.0,2457.0,0.0
gemma_3_27b,minimal,185,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,1.0,2760.0,2760.0,2760.0,0.0
gemma_4_26b,minimal,1,0.7227488151658767,0.6824644549763034,0.040284360189573376,0.9170616113744076,0.8015358464959722,0.9147540983606557,0.96875,0.9409780775716694,279,26,108,9,0.19402985074626866,0.03125,0.014018691588785047,0.985981308411215,9185.296208530806,6341.0,18437.45,0.0
gemma_4_26b,minimal,2,0.7904761904761904,0.8,-0.009523809523809601,0.9142857142857143,0.7368054588497424,0.9518072289156626,0.9404761904761905,0.9461077844311376,158,8,34,10,0.19047619047619047,0.05952380952380952,0.0,1.0,8878.952380952382,6757.0,20342.44999999998,0.0
gemma_4_26b,minimal,3,0.8,0.8105263157894737,-0.010526315789473606,0.968421052631579,0.8993110757816641,0.9868421052631579,0.974025974025974,0.9803921568627451,75,1,17,2,0.05555555555555555,0.025974025974025976,0.010416666666666666,0.9895833333333334,8115.1894736842105,6676.0,16425.199999999997,0.0
