judge_model,prompt_template,golden_answer_alias_count,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
qwen_3_235b,minimal,21,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,1.0,1.0,1.0,10,0,2,0,0.0,0.0,0.0,1.0,6091.333333333333,426.5,32379.79999999997,0.0
qwen_3_235b,minimal,22,0.9,0.8,0.09999999999999998,0.9,0.6078431372549022,0.8888888888888888,1.0,0.9411764705882353,8,1,1,0,0.5,0.0,0.0,1.0,23695.8,1084.0,61267.34999999999,0.0
qwen_3_235b,minimal,23,0.9333333333333333,0.9333333333333333,0.0,0.8666666666666667,-0.07142857142857194,0.9285714285714286,0.9285714285714286,0.9285714285714286,13,1,0,1,1.0,0.07142857142857142,0.0,1.0,7808.333333333333,396.0,54018.899999999994,0.0
qwen_3_235b,minimal,24,0.625,0.625,0.0,1.0,1.0,1.0,1.0,1.0,5,0,3,0,0.0,0.0,0.0,1.0,22263.625,1070.0,61866.799999999996,0.0
qwen_3_235b,minimal,25,0.8,0.8,0.0,1.0,1.0,1.0,1.0,1.0,4,0,1,0,0.0,0.0,0.0,1.0,479.4,408.0,681.1999999999999,0.0
qwen_3_235b,minimal,26,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4,0,0,0,0.0,0.0,0.0,1.0,28112.25,27569.5,56528.9,0.0
qwen_3_235b,minimal,27,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,11,0,0,0,0.0,0.0,0.0,1.0,16777.727272727272,481.0,59723.5,0.0
qwen_3_235b,minimal,28,0.9285714285714286,0.9285714285714286,0.0,1.0,1.0,1.0,1.0,1.0,13,0,1,0,0.0,0.0,0.0,1.0,9278.214285714286,448.5,60101.35,0.0
qwen_3_235b,minimal,29,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0,0,0,0.0,0.0,0.0,1.0,415.6666666666667,421.0,430.9,0.0
qwen_3_235b,minimal,30,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,0,0,0,0.0,0.0,0.0,1.0,11694.6,429.0,45480.79999999999,0.0
qwen_3_235b,minimal,31,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,0,0,0,0.0,0.0,0.0,1.0,1582.0,464.0,5928.699999999995,0.0
qwen_3_235b,minimal,32,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,29692.0,29692.0,56058.399999999994,0.0
qwen_3_235b,minimal,33,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,26532.5,26532.5,50054.45,0.0
qwen_3_235b,minimal,35,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4,0,0,0,0.0,0.0,0.0,1.0,15672.0,470.5,52245.59999999998,0.0
qwen_3_235b,minimal,36,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,342.0,342.0,342.9,0.0
qwen_3_235b,minimal,37,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6,0,0,0,0.0,0.0,0.0,1.0,19665.5,1062.0,57824.5,0.0
qwen_3_235b,minimal,38,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,27265.0,27265.0,51447.1,0.0
qwen_3_235b,minimal,39,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,407.0,407.0,407.0,0.0
